"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin2","fin4","fin5","fin6","fin7","fin8","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14a","fin14a1","fin14b","fin16","fin17a","fin17a1","fin20","fin22a","fin22b","fin24","fin24a","fin24b","fin30","fin31a","fin31b","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin44a","fin44b","fin44c","fin44d","fin45","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Iran, Islamic Rep.","IRN",118698720,0.743463570949164,1,29,2,3,2,,1,1,0,2,,,,,,,,,,,,,2,2,2,2,2,1,1,1,,,,,2,2,2,2,2,2,,1,2,1,2,2,2,1,1,2,,2,,,,,,2,2,,,,,3,1,2,2,2,1,1,4,4,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",116467601,1.14585732267098,2,38,2,2,1,,1,1,0,1,2,2,2,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,3,3,1,1,2,,2,,,,,,1,2,2,2,2,1,3,2,3,3,,1,0,4,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",170217441,0.494427513109929,2,64,2,2,1,,1,1,0,1,1,2,2,2,,,1,1,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,6,1,1,2,,,,2,,,,,,2,2,,,,,1,1,1,1,1,0,1,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",134525425,1.45264435702281,2,18,2,3,1,,1,1,0,1,1,2,1,2,,,1,1,1,2,1,,,,,,,,,,,,,,2,2,2,2,2,1,,2,2,2,2,3,3,2,,,,2,,,,,,2,2,,,,,2,2,3,3,2,1,0,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",129234666,0.991275209489569,1,20,2,1,2,,1,1,0,1,1,1,2,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,5,1,1,2,,,,2,,,,,,1,2,2,2,2,1,2,1,2,3,2,1,0,4,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",178278009,0.407949219712598,1,59,1,5,2,,0,0,0,2,,,,,,,,,,,,2,2,2,2,2,3,1,3,2,,,,,2,2,2,2,2,2,,2,2,2,7,,,2,,,,2,,,,,,2,2,,,,,1,1,1,4,2,0,0,4,4,4,,4,,1,2,0,
"Iran, Islamic Rep.","IRN",186564338,0.955953261533416,2,27,2,5,1,,1,1,0,1,1,2,2,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,1,1,,2,1,1,3,3,3,1,1,2,,1,2,1,2,,,2,2,,,,,2,2,2,3,1,1,1,1,4,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",166445515,1.44264368081908,2,23,2,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,2,2,2,2,1,1,1,2,2,2,2,2,1,3,2,1,2,,,,2,,,,,,1,2,1,2,,,2,3,2,4,3,0,1,4,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",118521107,0.921556167994207,2,38,2,4,1,,1,1,0,1,1,1,1,1,1,2,1,1,1,1,2,,,,,,,,,,,,,,2,1,1,1,2,2,,2,1,2,3,2,1,1,1,2,,1,1,1,2,,,1,2,1,2,,,2,1,2,2,2,0,1,1,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",140075917,0.567922485289391,1,40,3,5,1,,1,1,0,1,1,1,1,2,,,2,,1,1,1,,,,,,,,,,,,,,2,1,2,1,1,2,,2,2,2,3,2,2,1,2,2,1,2,,,,,,2,2,,,,,2,2,2,2,2,1,0,4,4,4,,2,,1,1,1,
"Iran, Islamic Rep.","IRN",144053549,0.673460682491819,1,55,1,2,2,,1,1,0,1,1,2,1,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,1,1,,2,2,2,2,2,2,2,,,,2,,,,,,2,2,,,,,2,1,3,4,2,1,0,4,4,4,,4,,1,2,1,
"Iran, Islamic Rep.","IRN",117744347,0.886600104255581,1,22,3,3,2,,1,1,0,1,2,2,2,1,2,2,2,,2,,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,2,2,2,,,,2,,,,,,2,2,,,,,1,3,2,2,1,1,0,4,4,4,,4,,1,1,0,
"Iran, Islamic Rep.","IRN",183885727,0.799421707962695,1,40,1,2,1,,1,1,0,1,1,2,1,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,1,1,4,1,5,1,1,2,,2,,,,,,1,2,1,2,,,1,1,2,4,6,0,1,4,1,4,,1,,1,2,1,
