"year_b","id_i","weight_d","respondent_age_o","respondent_education_level_o","in_the_workforce_b","household_income_quintile_o","main_source_emergency_funds_c","has_account_b","has_financial_institution_account_b","has_mobile_money_account_b","made_or_received_digital_payment_b","received_government_pension_b","received_government_transfers_c","received_government_pension_payment_c","used_phone_for_finance_b","owns_mobile_phone_b","saved_in_past_year_b","any_deposit_into_account_b","any_withdrawal_from_account_b","reason_no_account_c","borrowed_in_the_past_year_c"
2017,301,1.1774564932445721,38,1,0,1,4,1,1,0,1,0,1,0,0,1,0,1,1,NA,3
2017,304,0.6188508928197672,16,1,0,4,0,1,1,0,1,1,1,1,1,1,0,0,1,NA,0
2017,308,1.125553276777314,27,2,1,3,0,1,1,0,1,0,1,0,1,1,1,1,1,NA,2
2017,309,1.879588129758262,52,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,NA,1
2017,310,0.2964887655738489,99,2,0,3,0,1,1,1,1,0,1,0,1,1,0,1,1,NA,3
2017,315,0.48575748820293324,30,2,1,3,0,1,0,1,1,0,0,0,NA,1,1,NA,NA,1,1
2017,317,0.2860514716047312,53,1,0,4,3,1,1,0,1,1,0,1,0,1,1,1,1,NA,3
2017,318,1.4429015458878813,44,1,0,3,0,1,1,0,1,0,0,0,0,1,1,0,0,NA,0
2017,319,0.5274389217994272,35,1,1,2,0,1,1,0,1,0,1,0,1,1,0,0,1,NA,3
2017,320,0.2860514716047312,30,2,1,2,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,1,3
2017,322,1.1514047899101925,40,0,0,1,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,6,0
2017,324,0.7676031932734615,40,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,NA,1
2017,328,0.3924854977481907,34,1,0,1,2,1,0,1,1,0,0,0,NA,1,0,NA,NA,6,0
2017,329,0.9836991063474919,39,1,1,4,1,1,1,0,1,0,0,0,0,1,0,1,1,NA,1
2017,330,1.9986919526812086,36,0,0,3,0,1,1,0,1,0,1,0,0,0,0,0,0,NA,2
2017,331,0.2860514716047312,33,2,0,0,3,1,1,0,1,0,1,0,NA,1,1,NA,NA,6,2
2017,335,0.32383832546862207,35,2,1,1,0,1,1,0,1,0,1,0,NA,1,0,NA,NA,1,3
2017,338,0.7676031932734615,40,1,0,3,0,1,1,1,1,0,1,0,NA,1,0,NA,NA,1,3
2017,341,0.2860514716047312,35,2,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,NA,1
